region,target_time,target_VHM0,VHM0_t-8,VHM0_t-7,VHM0_t-6,VHM0_t-5,VHM0_t-4,VHM0_t-3,VHM0_t-2,VHM0_t-1,VTPK_t-8,VTPK_t-7,VTPK_t-6,VTPK_t-5,VTPK_t-4,VTPK_t-3,VTPK_t-2,VTPK_t-1,VPED_t-8,VPED_t-7,VPED_t-6,VPED_t-5,VPED_t-4,VPED_t-3,VPED_t-2,VPED_t-1,VHM0_t,VTPK_t,VPED_t
Arabian_Sea,2025-10-01 00:00:00,1.8499999,1.8399999,1.8199999,1.8299999,1.8399999,1.8399999,1.76,1.75,1.76,8.08,8.32,8.16,7.89,7.7,7.5299997,7.5,7.5299997,247.5,247.5,247.5,247.5,247.5,247.5,247.5,247.5,1.8499999,7.66,262.5
Arabian_Sea,2025-10-01 03:00:00,1.88,1.8199999,1.8299999,1.8399999,1.8399999,1.76,1.75,1.76,1.8499999,8.32,8.16,7.89,7.7,7.5299997,7.5,7.5299997,7.66,247.5,247.5,247.5,247.5,247.5,247.5,247.5,262.5,1.88,7.6,262.5
Arabian_Sea,2025-10-01 06:00:00,1.87,1.8299999,1.8399999,1.8399999,1.76,1.75,1.76,1.8499999,1.88,8.16,7.89,7.7,7.5299997,7.5,7.5299997,7.66,7.6,247.5,247.5,247.5,247.5,247.5,247.5,262.5,262.5,1.87,7.58,262.5
Arabian_Sea,2025-10-01 09:00:00,1.92,1.8399999,1.8399999,1.76,1.75,1.76,1.8499999,1.88,1.87,7.89,7.7,7.5299997,7.5,7.5299997,7.66,7.6,7.58,247.5,247.5,247.5,247.5,247.5,262.5,262.5,262.5,1.92,7.6699996,262.5
Arabian_Sea,2025-10-01 12:00:00,1.89,1.8399999,1.76,1.75,1.76,1.8499999,1.88,1.87,1.92,7.7,7.5299997,7.5,7.5299997,7.66,7.6,7.58,7.6699996,247.5,247.5,247.5,247.5,262.5,262.5,262.5,262.5,1.89,7.52,262.5
Arabian_Sea,2025-10-01 15:00:00,1.8399999,1.76,1.75,1.76,1.8499999,1.88,1.87,1.92,1.89,7.5299997,7.5,7.5299997,7.66,7.6,7.58,7.6699996,7.52,247.5,247.5,247.5,262.5,262.5,262.5,262.5,262.5,1.8399999,7.46,262.5
Arabian_Sea,2025-10-01 18:00:00,1.79,1.75,1.76,1.8499999,1.88,1.87,1.92,1.89,1.8399999,7.5,7.5299997,7.66,7.6,7.58,7.6699996,7.52,7.46,247.5,247.5,262.5,262.5,262.5,262.5,262.5,262.5,1.79,7.49,277.5
Arabian_Sea,2025-10-01 21:00:00,1.79,1.76,1.8499999,1.88,1.87,1.92,1.89,1.8399999,1.79,7.5299997,7.66,7.6,7.58,7.6699996,7.52,7.46,7.49,247.5,262.5,262.5,262.5,262.5,262.5,262.5,277.5,1.79,7.5499997,277.5
Arabian_Sea,2025-10-02 00:00:00,1.88,1.8499999,1.88,1.87,1.92,1.89,1.8399999,1.79,1.79,7.66,7.6,7.58,7.6699996,7.52,7.46,7.49,7.5499997,262.5,262.5,262.5,262.5,262.5,262.5,277.5,277.5,1.88,7.64,277.5
Arabian_Sea,2025-10-02 03:00:00,1.9499999,1.88,1.87,1.92,1.89,1.8399999,1.79,1.79,1.88,7.6,7.58,7.6699996,7.52,7.46,7.49,7.5499997,7.64,262.5,262.5,262.5,262.5,262.5,277.5,277.5,277.5,1.9499999,7.6299996,277.5
Arabian_Sea,2025-10-02 06:00:00,1.9499999,1.87,1.92,1.89,1.8399999,1.79,1.79,1.88,1.9499999,7.58,7.6699996,7.52,7.46,7.49,7.5499997,7.64,7.6299996,262.5,262.5,262.5,262.5,277.5,277.5,277.5,277.5,1.9499999,7.64,187.5
Arabian_Sea,2025-10-02 09:00:00,2.0,1.92,1.89,1.8399999,1.79,1.79,1.88,1.9499999,1.9499999,7.6699996,7.52,7.46,7.49,7.5499997,7.64,7.6299996,7.64,262.5,262.5,262.5,277.5,277.5,277.5,277.5,187.5,2.0,7.74,187.5
Arabian_Sea,2025-10-02 12:00:00,2.04,1.89,1.8399999,1.79,1.79,1.88,1.9499999,1.9499999,2.0,7.52,7.46,7.49,7.5499997,7.64,7.6299996,7.64,7.74,262.5,262.5,277.5,277.5,277.5,277.5,187.5,187.5,2.04,17.289999,187.5
Arabian_Sea,2025-10-02 15:00:00,2.03,1.8399999,1.79,1.79,1.88,1.9499999,1.9499999,2.0,2.04,7.46,7.49,7.5499997,7.64,7.6299996,7.64,7.74,17.289999,262.5,277.5,277.5,277.5,277.5,187.5,187.5,187.5,2.03,17.25,187.5
Arabian_Sea,2025-10-02 18:00:00,2.06,1.79,1.79,1.88,1.9499999,1.9499999,2.0,2.04,2.03,7.49,7.5499997,7.64,7.6299996,7.64,7.74,17.289999,17.25,277.5,277.5,277.5,277.5,187.5,187.5,187.5,187.5,2.06,17.619999,187.5
Arabian_Sea,2025-10-02 21:00:00,2.09,1.79,1.88,1.9499999,1.9499999,2.0,2.04,2.03,2.06,7.5499997,7.64,7.6299996,7.64,7.74,17.289999,17.25,17.619999,277.5,277.5,277.5,187.5,187.5,187.5,187.5,187.5,2.09,17.48,187.5
