MMSI,route_start_time,ppo_distance_km,total_turning_degrees,destination_reached,baseline_distance_km,difference_km,ppo_vs_baseline_percent,ppo_better,ppo_worse
243681675,2024-07-06 07:23:38,32.0,20.0,True,29.0,3.0,10.344827586206897,False,True
340402302,2024-07-08 22:56:12,79.0,110.0,True,73.0,6.0,8.21917808219178,False,True
340402302,2024-07-14 07:36:30,63.0,0.0,True,64.0,-1.0,-1.5625,True,False
340402302,2024-07-15 22:54:11,79.0,50.0,True,74.0,5.0,6.756756756756757,False,True
340402302,2024-07-21 07:38:46,62.0,0.0,True,62.0,0.0,0.0,False,False
340402302,2024-07-28 07:29:21,62.0,0.0,True,62.0,0.0,0.0,False,False
340402302,2024-07-29 22:43:42,80.0,90.0,True,74.0,6.0,8.108108108108109,False,True
340402302,2024-08-04 07:50:49,63.0,20.0,True,62.0,1.0,1.6129032258064515,False,True
340402302,2024-08-05 23:09:27,66.0,80.0,True,63.0,3.0,4.761904761904762,False,True
340402302,2024-08-18 08:14:23,65.0,0.0,True,64.0,1.0,1.5625,False,True
340402302,2024-08-25 09:05:16,63.0,20.0,True,62.0,1.0,1.6129032258064515,False,True
340402302,2024-08-26 23:18:42,61.0,80.0,True,58.0,3.0,5.172413793103448,False,True
340402302,2024-09-02 23:15:59,77.0,70.0,True,73.0,4.0,5.47945205479452,False,True
340402302,2024-09-08 08:10:25,68.0,50.0,True,65.0,3.0,4.615384615384616,False,True
340402302,2024-09-09 23:38:10,63.0,130.0,True,59.0,4.0,6.779661016949152,False,True
340402302,2024-09-15 07:59:23,58.0,0.0,True,58.0,0.0,0.0,False,False
340402302,2024-09-16 23:21:12,59.0,70.0,True,56.0,3.0,5.357142857142857,False,True
340402302,2024-09-22 07:54:40,63.0,0.0,True,64.0,-1.0,-1.5625,True,False
340402302,2024-09-23 23:09:01,62.0,80.0,True,58.0,4.0,6.896551724137931,False,True
340402302,2024-09-29 07:58:56,61.0,0.0,True,62.0,-1.0,-1.6129032258064515,True,False
340402302,2024-09-30 23:23:09,18.0,60.0,True,17.0,1.0,5.88235294117647,False,True
345727782,2024-07-01 15:48:03,47.0,60.0,True,61.0,-14.0,-22.950819672131146,True,False
345727782,2024-07-15 16:08:25,31.0,0.0,True,31.0,0.0,0.0,False,False
345727782,2024-08-05 17:10:10,30.0,0.0,True,30.0,0.0,0.0,False,False
345727782,2024-08-19 15:38:37,31.0,0.0,True,30.0,1.0,3.3333333333333335,False,True
345727782,2024-09-02 15:12:14,34.0,40.0,True,35.0,-1.0,-2.857142857142857,True,False
345727782,2024-09-05 17:20:48,157.0,1510.0,True,149.0,8.0,5.369127516778524,False,True
345727782,2024-09-07 17:22:14,28.0,0.0,True,29.0,-1.0,-3.4482758620689653,True,False
345727782,2024-09-08 20:59:24,60.0,555.0,True,59.0,1.0,1.694915254237288,False,True
345727782,2024-09-09 15:22:13,47.0,60.0,True,62.0,-15.0,-24.193548387096776,True,False
345727782,2024-09-12 20:50:14,61.0,565.0,True,59.0,2.0,3.389830508474576,False,True
345727782,2024-09-13 15:02:28,48.0,60.0,True,64.0,-16.0,-25.0,True,False
385831098,2024-07-01 09:59:34,160.0,110.0,True,137.0,23.0,16.78832116788321,False,True
385831098,2024-07-02 21:00:31,57.0,190.0,True,55.0,2.0,3.6363636363636362,False,True
385831098,2024-07-29 10:06:07,188.0,110.0,True,160.0,28.0,17.5,False,True
385831098,2024-08-01 15:53:11,252.0,2440.0,True,208.0,44.0,21.153846153846153,False,True
385831098,2024-08-05 10:00:44,168.0,110.0,True,144.0,24.0,16.666666666666664,False,True
385831098,2024-08-19 10:04:06,189.0,110.0,True,164.0,25.0,15.24390243902439,False,True
396636589,2024-09-11 02:29:21,64.0,60.0,True,61.0,3.0,4.918032786885246,False,True
406647606,2024-07-09 00:47:50,70.0,70.0,True,66.0,4.0,6.0606060606060606,False,True
406647606,2024-07-09 09:28:33,87.0,380.0,True,60.0,27.0,45.0,False,True
406647606,2024-09-03 00:56:11,53.0,50.0,True,51.0,2.0,3.9215686274509802,False,True
493087308,2024-08-07 03:07:11,47.0,80.0,True,36.0,11.0,30.555555555555557,False,True
680520589,2024-07-01 05:30:54,61.0,570.0,True,31.0,30.0,96.7741935483871,False,True
680520589,2024-07-01 17:49:39,48.0,10.0,True,50.0,-2.0,-4.0,True,False
680520589,2024-07-02 06:00:42,79.0,755.0,True,51.0,28.0,54.90196078431373,False,True
680520589,2024-07-02 18:04:08,45.0,10.0,True,61.0,-16.0,-26.229508196721312,True,False
680520589,2024-07-03 06:05:21,78.0,735.0,True,49.0,29.0,59.183673469387756,False,True
680520589,2024-07-03 18:14:04,39.0,20.0,True,37.0,2.0,5.405405405405405,False,True
680520589,2024-07-04 06:08:48,79.0,745.0,True,50.0,29.0,57.99999999999999,False,True
680520589,2024-07-04 18:24:30,43.0,20.0,True,61.0,-18.0,-29.508196721311474,True,False
680520589,2024-07-05 06:49:08,49.0,440.0,True,49.0,0.0,0.0,False,False
680520589,2024-07-05 17:51:33,48.0,0.0,True,48.0,0.0,0.0,False,False
680520589,2024-07-06 05:58:21,79.0,755.0,True,52.0,27.0,51.92307692307693,False,True
680520589,2024-07-09 06:07:13,46.0,425.0,True,15.0,31.0,206.66666666666669,False,True
680520589,2024-07-09 18:06:04,43.0,30.0,True,61.0,-18.0,-29.508196721311474,True,False
680520589,2024-07-10 06:18:20,70.0,660.0,True,52.0,18.0,34.61538461538461,False,True
680520589,2024-07-10 18:32:16,53.0,30.0,True,50.0,3.0,6.0,False,True
680520589,2024-07-11 05:56:48,58.0,550.0,True,29.0,29.0,100.0,False,True
706899810,2024-07-02 15:01:33,26.0,140.0,True,22.0,4.0,18.181818181818183,False,True
706899810,2024-07-21 15:51:20,42.0,70.0,True,35.0,7.0,20.0,False,True
706899810,2024-07-23 02:34:56,47.0,460.0,True,45.0,2.0,4.444444444444445,False,True
706899810,2024-09-26 13:35:26,26.0,10.0,True,27.0,-1.0,-3.7037037037037033,True,False
706899810,2024-09-28 13:08:50,31.0,280.0,True,31.0,0.0,0.0,False,False
743497398,2024-07-01 15:18:59,23.0,30.0,True,24.0,-1.0,-4.166666666666666,True,False
743497398,2024-07-05 15:34:40,37.0,370.0,True,36.0,1.0,2.7777777777777777,False,True
791860098,2024-07-02 20:54:00,48.0,0.0,True,61.0,-13.0,-21.311475409836063,True,False
791860098,2024-07-15 12:09:58,35.0,275.0,True,38.0,-3.0,-7.894736842105263,True,False
