vessel_id,record_count
531004359,627027
353196028,412221
449094058,301554
738908931,280175
741835389,211046
248964690,195929
261098615,187991
439729450,181496
680520589,144878
771283800,137887
243681675,134274
496008645,131236
303144099,122963
616620391,119064
477832320,116600
525791007,106552
370384996,105143
587268510,105044
533187847,99746
304385446,97088
386691164,96725
629870457,90828
675656627,85852
708743043,84355
201622454,83224
440238215,78182
419321940,74628
346795489,71548
248692941,61840
200134975,49606
234463823,49305
534176328,46612
408286708,44218
724987568,40495
764992475,37741
371681494,37227
334424486,37108
226225103,36971
260995738,32987
369314059,32727
565464295,32492
693780742,32111
446911976,31564
723806186,30049
241749307,29472
753812392,29199
439165167,29091
345727782,28665
628693508,27994
279179394,27568
406647606,27310
630842022,25483
301394865,24753
385831098,24713
526575618,24628
396636589,24290
366763109,24039
375886596,23537
653464635,23512
462919369,23260
493087308,22665
454406528,21905
435026421,21827
743497398,21219
395657503,21188
500736053,21186
596440147,20947
205811699,20756
758938562,20464
246228378,20426
791860098,20127
716124575,20109
584196090,19843
344937624,19241
706899810,19166
340402302,19129
238007480,19057
306211122,18781
642576528,18650
486614993,18300
308150932,18162
768601548,17938
785846028,17882
492646760,17781
204596262,17601
406066825,17573
602714433,17222
382352877,17167
241283567,16962
545396852,16741
689504186,16537
363834942,16527
488559558,16412
227124315,16213
351064669,15887
300371264,15849
375911078,15516
736928040,15482
508793213,15364
377764844,15185
206026230,14979
601719215,14911
449498459,14869
652029030,14831
487955018,14674
592305943,14630
687658117,14569
442724028,14390
244377102,14151
386583973,14150
676818809,13651
331653751,13594
777631018,13471
737503408,13183
655776463,13132
352789150,13080
783013193,12992
264829020,12990
698163470,12736
524184405,12378
208251388,12328
413620429,12169
732757538,12140
338588589,12080
307921241,12019
287112902,11994
711789399,11950
349190590,11786
236362954,11582
372696737,11580
329139046,11521
327427316,11257
201007497,11120
211629183,10939
604589250,10898
379975821,10689
590912124,10487
609186908,10250
668015635,10248
331302520,10212
393507438,10120
769344040,10029
473064244,9941
406147867,9898
511304883,9837
241856948,9806
677270181,9737
633098984,9522
437598940,9481
750691989,9097
680445558,8913
546748757,8912
392705362,8677
362609252,8649
378300654,8622
626607173,8574
356931085,8551
682147011,8551
299611587,8523
649863976,8427
693445802,8405
247809699,8294
497965445,8276
304465264,8182
672937603,8162
280073156,8096
546720226,8002
780169468,7973
299733644,7758
761176261,7655
337115414,7555
735779810,7534
754770106,7507
361654027,7486
643244841,7462
579416035,7442
655347748,7412
664308345,7395
503554128,7381
798880815,7364
349707564,7335
612891842,7284
318916873,7266
419486713,7189
365945156,7140
372540035,7064
397085287,6979
349294059,6973
233650715,6895
265955227,6878
324090451,6860
770402733,6844
525420074,6804
622333500,6801
239032988,6730
362342470,6726
271754372,6716
659473256,6584
396173285,6575
380000933,6525
308990171,6516
477891511,6445
698592707,6443
580184361,6407
701104988,6333
739830727,6322
271412726,6294
449247495,6289
241407568,6262
646252012,6251
777732834,6175
390534482,6143
444220455,6138
395518012,6079
394950420,6061
388024420,6043
224919287,6031
218474190,6006
560789277,5973
328613980,5967
566146790,5873
274472860,5866
697956794,5828
505150541,5814
670461272,5797
567506940,5742
733339738,5694
721283812,5690
629191244,5647
776707227,5522
303810129,5503
483343436,5427
267342107,5398
307484444,5361
765434074,5347
587907399,5300
656457218,5291
758290394,5278
475748226,5250
646799255,5201
744598174,5166
249096156,5156
387971293,5138
381990131,5104
437356161,5053
312165320,5011
731486974,4977
259452112,4972
791050718,4968
557106912,4937
501044785,4882
719545053,4872
302869658,4847
725472509,4810
642679214,4767
693997757,4763
265250593,4689
522777669,4674
586447027,4628
406017801,4607
652254809,4557
242047492,4557
234052276,4537
552487995,4535
458966346,4525
392907000,4518
651465693,4507
270789563,4503
357605047,4485
429885139,4459
363642070,4438
605199501,4437
556115401,4314
476132045,4300
291263220,4262
518306240,4260
623163879,4259
628740518,4227
796155173,4163
280387304,4103
440114497,4090
632841364,4072
748095170,4051
363422204,4050
486291760,4026
642521419,4016
598265571,3995
478756503,3994
307889454,3972
616294393,3965
326314801,3936
399333892,3932
663464544,3873
566228001,3801
756849086,3798
488301340,3786
250661738,3775
596947116,3764
675824569,3751
733922061,3665
721818896,3662
619414632,3662
460544564,3636
522070936,3634
576149662,3627
437730319,3589
685987786,3546
303841477,3541
413455577,3530
491135758,3480
241157891,3473
372280020,3472
682955733,3460
203374970,3459
696791408,3440
353861300,3428
465747159,3418
675027373,3391
523349598,3374
361731094,3373
693240860,3366
742449368,3352
465303687,3345
311311568,3335
454755179,3283
471917431,3272
354769531,3238
454554861,3238
673440142,3206
796869126,3155
589807285,3149
630317110,3144
491032609,3121
408967011,3107
313210766,3100
373058129,3084
538995955,3083
635643414,3033
292421977,3003
233354375,2978
741948003,2936
513809458,2935
431935410,2934
786492806,2927
346909866,2919
317037429,2918
716233260,2913
213043284,2909
335997320,2908
560190639,2905
661518787,2897
431061190,2886
509515873,2876
429411799,2871
314797868,2867
730555855,2858
205535026,2844
473309265,2836
406387238,2831
761257149,2823
702948817,2816
469569814,2812
360760235,2803
252478094,2799
289485411,2789
608613422,2785
487048745,2783
406677821,2768
743433380,2747
597682771,2745
617986590,2740
513341442,2738
497816936,2736
640515882,2733
534562004,2731
696393915,2707
479984746,2704
251754133,2702
489672073,2664
287991116,2653
358754793,2631
213455776,2631
302266864,2630
729050653,2615
296702714,2603
672524504,2598
350191885,2590
438592295,2587
481511929,2585
219387710,2577
746590222,2570
670128002,2561
405571650,2558
322887201,2558
714456766,2552
339380075,2545
483343361,2539
402605134,2535
227697112,2525
379699621,2521
521540897,2516
726318650,2515
420124155,2510
565613572,2507
654989182,2499
280302306,2499
271780052,2487
612476149,2483
458660587,2480
584000845,2468
302456175,2467
633471593,2457
