position.lat,position.lon,fishing.totalDistanceKm,fishing.averageSpeedKnots,fishing.averageDurationHours,distances.startDistanceFromShoreKm,distances.endDistanceFromShoreKm,distances.startDistanceFromPortKm,distances.endDistanceFromPortKm,regions.eez12Nm,regions.highSeas,regions.eez,vessel.type_fishing,target_risk
21.01,114.5591,37.99171125455686,3.5699999952316284,,113,108,121.312828,110.069852,[],[],['8486'],1,0
-13.4016,-83.5278,0.9119123398332556,0.4235294117647058,,680,680,687.978938,687.978938,[],['63203'],[],1,0
-19.2846,-79.9826,0.6805495345977625,0.1114754121078819,,668,668,672.754312,672.043688,[],['63203'],[],1,0
22.7284,115.7049,6.714167044485023,2.0454545454545454,,11,9,9.910273,7.915112,[],[],['8486'],1,0
22.2481,114.097,6.882298687735644,2.981818181818181,,1,1,0.0,0.0,[],[],['8486'],1,0
34.6072,33.3311,2.9606284773031097,3.4,,14,13,11.157054,10.007544,['8376'],[],['8376'],1,0
20.9394,113.0463,30.91634515142707,3.3428571428571434,,79,76,81.231828,77.065,[],[],['8486'],1,0
21.6473,112.3292,36.60002464471968,2.5448598130841127,,9,3,9.420306,12.617899,[],[],['8486'],1,0
2.8492,146.5633,14.71323232967908,6.85,,419,423,538.900438,538.34875,[],['63203'],[],1,0
21.4226,108.655,37.95848166534814,2.776250002607704,,26,19,2.350444,6.076784,['8486'],[],['8486'],1,0
22.0326,115.4031,34.8422078979211,2.835443037974683,,75,70,70.312258,68.326078,[],[],['8486'],1,0
-7.5758,-176.975,49.91422149737827,3.5703389830508474,,382,402,419.230781,447.941344,[],['63203'],[],1,0
-45.7453,-60.6712,6.745367151519727,0.5483871032153407,,390,386,407.866281,404.400344,[],['63203'],[],1,1
22.9536,116.8729,29.693260304480333,3.31,,24,26,20.526928,20.522008000000003,['8486'],[],['8486'],1,0
-22.9374,-41.2734,7.290058734475019,2.7625,,61,54,26.113568,32.435654,[],[],['8464'],1,0
17.6592,108.2392,22.1085735740837,2.9650000000000003,,102,102,112.693141,103.71925,[],[],['8486'],1,0
20.9563,112.7651,22.769878702529137,4.913333333333334,,73,66,76.787453,67.828906,[],[],['8486'],1,0
5.7419,79.0015,10.156681553177874,1.87894734857898,,132,125,144.913266,138.239781,[],[],['8346'],1,0
-19.3329,-79.6896,1.7358451594223183,0.6857142840112959,,649,647,653.36675,651.88275,[],['63203'],[],1,0
20.7292,114.9707,26.33545919081863,3.0866666666666664,,161,158,159.006391,149.067172,[],[],['8486'],1,0
21.3211,109.1428,10.168170922090054,2.0666666666666664,,11,8,10.21963,7.359473,['8486'],[],['8486'],1,0
-13.9482,-83.5407,1.5149200291081513,0.4654676320312693,,703,703,715.418625,714.9419379999999,[],['63203'],[],1,0
-18.9789,170.3091,109.76835228506958,4.401020425923018,,43,88,69.007383,141.665531,[],[],['8313'],1,0
21.1025,114.0121,65.22016462392098,2.718131868131868,,100,76,108.571836,86.242398,[],[],['8486'],1,0
5.4726,-153.6727,0.6084214425130522,0.5711111194557614,,558,558,571.5620620000001,572.383,[],['63203'],[],1,0
20.7605,114.9613,27.085955554721448,3.093103448275862,,158,155,156.578516,146.060484,[],[],['8486'],1,0
29.1327,130.7913,39.222852856470205,2.8929824561403503,,101,111,73.885062,90.439992,[],[],['8487'],1,0
21.0612,114.0353,51.77498306421033,3.0090909090909097,,95,78,105.264031,88.23278900000001,[],[],['8486'],1,0
21.0737,114.0166,65.25241813440667,2.8716981132075468,,95,78,104.035969,88.23278900000001,[],[],['8486'],1,0
7.7496,98.7146,20.9564881454348,2.9782608695652177,,6,4,7.968267,6.261326,[],[],['8332'],1,0
-19.2438,-79.5442,2.1331900274301168,0.5621621695724696,,631,630,635.754,634.229438,[],['63203'],[],1,0
24.628,135.6489,15.011936624359826,4.7333333333333325,,449,459,458.862562,466.579719,[],['63203'],[],1,0
20.8301,110.6752,6.297730466621899,4.781818181818181,,5,9,12.710537,16.293041,[],[],['8486'],1,0
20.877,113.1382,28.21819091081793,3.018918918918919,,83,87,83.28856999999999,87.47206200000001,[],[],['8486'],1,0
24.4786,53.1146,344.66605471976465,1.7899906859183372,,10,13,15.607042,6.058767,['8360'],[],['8360'],1,0
20.5336,113.3417,6.208512164183065,1.7882352941176465,,129,128,129.615664,128.364383,[],[],['8486'],1,0
19.2045,105.7896,3.1667507616361337,1.1111111111111112,,5,4,12.630403,10.49136,['8484'],[],['8484'],1,0
15.3774,150.6544,8.37068588068466,5.763636363636363,,493,500,523.61925,531.144375,[],['63203'],[],1,0
21.4992,114.6108,15.223326318464276,2.872727272727273,,71,66,63.925816,56.864586,[],[],['8486'],1,0
-45.4807,-60.5716,2.206793179658627,0.3909090974114159,,387,387,408.329531,408.017938,[],['63203'],[],1,1
38.8655,123.8701,34.391739476554584,3.7044943820224727,,65,62,60.992469,59.195594,[],[],['8486'],1,0
-20.1858,-110.6467,5.292320700261181,1.6721739130434785,,769,774,774.890938,780.0155,[],['63203'],[],1,1
37.2698,123.5569,13.058689446467662,2.9521739130434783,,77,79,74.40932799999999,76.966648,[],[],['8486'],1,0
20.885,113.0361,28.81170985083334,3.595833333333333,,85,76,86.831102,76.093016,[],[],['8486'],1,0
13.0231,151.1164,8.537047984168623,6.128571428571428,,456,461,623.95425,626.277125,[],['63203'],[],1,0
-45.6158,-60.6418,7.798486132728066,0.6316455756373042,,385,386,404.723688,406.230906,[],['63203'],[],1,1
12.9941,109.7614,4.4196686649934,1.1625,,32,35,74.700141,77.718227,[],[],['8484'],1,0
-45.2858,-60.4,7.230512387272106,0.4161538528135191,,385,379,419.9715,417.868562,[],['63203'],[],1,1
29.7173,147.8765,70.12982530669152,3.687500000000001,,592,623,614.057125,648.758188,[],['63203'],[],1,1
20.9384,113.0745,27.266850203536364,2.675,,81,71,81.83130499999999,71.731461,[],[],['8486'],1,0
10.9669,108.7154,28.1223608501405,2.25945945945946,,25,21,120.358188,108.727547,[],[],['8484'],1,0
10.9821,108.7064,16.609882834764722,2.006666666666667,,22,20,114.407625,110.046836,[],[],['8484'],1,0
-0.3866,106.6248,2.141415368892697,1.075,,86,84,168.808438,171.262531,[],[],['8492'],1,0
38.7257,122.2631,52.49079710075687,2.6057142870766774,,40,42,22.837348,23.948213,[],[],['8486'],1,0
22.3998,118.2263,28.65023550039413,6.31764705882353,,155,142,70.298109,67.47111699999999,[],[],['8486'],1,0
36.4724,122.6122,12.627527160667947,2.7315789473684213,,46,45,39.060703,33.974332000000004,[],[],['8486'],1,0
38.4322,121.9619,10.270241519232195,4.492857142857142,,50,48,46.774516000000006,43.36602,[],[],['8486'],1,0
20.4228,111.1877,22.54906251757555,3.1288888888888886,,44,57,54.376309,64.600578,[],[],['8486'],1,0
-45.9062,-60.6595,3.183069869345403,0.4214285714285714,,393,396,409.330125,412.03875,[],['63203'],[],1,1
-45.6048,-60.6575,6.591187891169267,0.6875,,385,383,404.52118800000005,402.973812,[],['63203'],[],1,1
34.6907,128.7414,8.317631069427255,3.247058801791247,,11,10,12.535031,10.449689,[],[],['8327'],1,0
-46.0776,-60.653,8.362042399675897,0.1961832061068701,,398,402,413.807812,418.045562,[],['63203'],[],1,1
-46.0072,-60.7312,5.772422719912992,0.381045755851113,,393,395,408.213594,410.2281880000001,[],['63203'],[],1,1
38.7382,120.5206,5.806896294541624,3.7166666666666672,,48,43,47.122695,44.885078,[],[],['8486'],1,0
17.4166,108.0668,2.57072165183906,2.3777777777777778,,82,83,119.097477,122.430062,[],[],['8484'],1,0
20.924,113.0268,29.207785592554096,3.2081081081081075,,78,79,80.08717200000001,79.302445,[],[],['8486'],1,0
20.5691,113.3268,1.7746327225964151,0.7533333333333332,,124,124,124.478891,124.888945,[],[],['8486'],1,0
-31.8279,37.1295,54.120011070154526,3.5918367386906898,,584,590,571.0325,579.610125,[],['63203'],[],1,0
-45.7095,-60.6543,9.011934259487528,0.64,,390,385,408.197531,403.717375,[],['63203'],[],1,1
-26.9561,14.54,40.46696885145496,3.227054795888189,,57,65,74.06207,72.472461,[],[],['8395'],1,0
21.045,112.5068,0.8163747016544713,1.1166666666666667,,62,61,61.165980000000005,60.054195,[],[],['8486'],1,0
19.9112,-17.34,67.3420883938604,2.5642857142857145,,71,84,95.740891,95.791555,[],[],['8369'],1,0
32.9988,126.4573,4.358494532110061,2.783333341280619,,26,25,25.727037,23.425107,['8327'],[],['8327'],1,0
29.5929,126.1854,5.582328269775777,2.3000000000000003,,277,275,315.9435,319.451812,[],[],['8487'],1,0
36.0114,125.9701,9.168665770578803,4.271186428554988,,13,12,13.36762,12.525152,['8327'],[],['8327'],1,0
21.7486,112.1444,1.8671414012258265,1.1666666666666667,,5,4,7.230027,6.295921,[],[],['8486'],1,0
30.7904,145.8699,12.824394045778536,3.16,,496,506,540.485688,549.175375,[],['63203'],[],1,1
-45.3866,-60.5986,5.461715113705582,0.5208333426465591,,382,378,404.830094,404.9636880000001,[],['63203'],[],1,1
31.1138,127.1371,5.031283231077102,3.3500000000000005,,151,147,219.773141,218.293625,[],[],['21796'],1,0
4.8245,151.6576,2.038052756646495,0.948039217789968,,203,200,293.195969,291.936219,[],[],['8316'],1,0
20.8167,112.9483,16.10167598014559,3.6277777777777778,,90,83,92.315078,83.740133,[],[],['8486'],1,0
20.8818,113.1683,24.859939513148284,2.6750000000000003,,84,87,84.898094,87.320312,[],[],['8486'],1,0
-45.4445,-60.5857,5.977860023125543,0.4770833405666053,,387,383,408.017938,405.742125,[],['63203'],[],1,1
20.9878,111.4428,165.21761337654135,2.7255813953488373,,74,42,54.696465,34.879332000000005,[],[],['8486'],1,0
50.1301,0.2297,22.100527809554396,3.33870969664666,,34,43,38.370301,45.23757,[],[],['5677'],1,0
31.1077,126.5177,5.200664211553416,1.7761904761904763,,200,196,236.862031,232.445016,[],[],['21796'],1,0
-2.3255,-108.8049,63.3402567996095,2.3043243261446813,,1410,1385,1931.11575,1897.972125,[],['63203'],[],1,0
